country,adj_country
Antigua and Barbuda,Antigua & Barbuda
Bosnia and Herzegovina,Bosnia And Herzegovina
Cabo Verde,Cape Verde
Côte d'Ivoire,Cote Divoire
Curaçao,Curasao
Czechia,Czech Republic
Democratic Republic of the Congo,"Congo, The Democratic Republic Of The"
Eswatini,Swaziland
Iran,"Iran, Islamic Republic Of"
Laos,Lao Peoples Democratic Republic
Libya,Libyan Arab Jamahiriya
Macao,Macau
Mayotte,Mayotte
Micronesia,"Micronesia, Federated States Of"
Moldova,"Moldova, Republic Of"
North Korea,"Korea, Democratic Peoples Republic Of"
North Macedonia,"Macedonia, The Former Yugoslav Republic Of"
Palestine,"Palestinian Territory, Occupied"
Réunion,Reunion
Romania,Roumania
Saint Vincent and the Grenadines,Saint Vincent And The Grenadines
Sao Tome and Principe,Sao Tome And Principe
South Korea,"Korea, Republic Of"
Syria,Syrian Arab Republic
Tanzania,"Tanzania, United Republic Of"
Timor-Leste,Timor Leste
Trinidad and Tobago,Trinidad And Tobago
United States,United States Of America
United States Virgin Islands,"Virgin Islands, U.s."
